InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,01-12-2010 08:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,01-12-2010 08:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,01-12-2010 08:26,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,01-12-2010 08:26,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,01-12-2010 08:26,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,01-12-2010 08:26,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,01-12-2010 08:26,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,01-12-2010 08:28,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,01-12-2010 08:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,01-12-2010 08:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,01-12-2010 08:34,2.1,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,01-12-2010 08:34,2.1,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,01-12-2010 08:34,3.75,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY ,6,01-12-2010 08:34,1.65,13047,United Kingdom
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,01-12-2010 08:34,4.25,13047,United Kingdom
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,01-12-2010 08:34,4.95,13047,United Kingdom
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,01-12-2010 08:34,9.95,13047,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,3,01-12-2010 08:34,5.95,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,01-12-2010 08:34,5.95,13047,United Kingdom
536367,21777,RECIPE BOX WITH METAL HEART,4,01-12-2010 08:34,7.95,13047,United Kingdom
536367,48187,DOORMAT NEW ENGLAND,4,01-12-2010 08:34,7.95,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,01-12-2010 08:34,4.25,13047,United Kingdom
536368,22913,RED COAT RACK PARIS FASHION,3,01-12-2010 08:34,4.95,13047,United Kingdom
536368,22912,YELLOW COAT RACK PARIS FASHION,3,01-12-2010 08:34,4.95,13047,United Kingdom
536368,22914,BLUE COAT RACK PARIS FASHION,3,01-12-2010 08:34,4.95,13047,United Kingdom
536369,21756,BATH BUILDING BLOCK WORD,3,01-12-2010 08:35,5.95,13047,United Kingdom
536370,22728,ALARM CLOCK BAKELIKE PINK,24,01-12-2010 08:45,3.75,12583,France
536370,22727,ALARM CLOCK BAKELIKE RED ,24,01-12-2010 08:45,3.75,12583,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,01-12-2010 08:45,3.75,12583,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,01-12-2010 08:45,0.85,12583,France
536370,21883,STARS GIFT TAPE ,24,01-12-2010 08:45,0.65,12583,France
536370,10002,INFLATABLE POLITICAL GLOBE ,48,01-12-2010 08:45,0.85,12583,France
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,01-12-2010 08:45,1.25,12583,France
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,01-12-2010 08:45,2.95,12583,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,01-12-2010 08:45,2.95,12583,France
536370,22629,SPACEBOY LUNCH BOX ,24,01-12-2010 08:45,1.95,12583,France
536370,22659,LUNCH BOX I LOVE LONDON,24,01-12-2010 08:45,1.95,12583,France
536370,22631,CIRCUS PARADE LUNCH BOX ,24,01-12-2010 08:45,1.95,12583,France
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,01-12-2010 08:45,0.85,12583,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,01-12-2010 08:45,1.65,12583,France
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,01-12-2010 08:45,2.95,12583,France
578270,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,23-11-2011 13:39,7.46,14096,United Kingdom
578270,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,2,23-11-2011 13:39,1.63,14096,United Kingdom
578270,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,1,23-11-2011 13:39,2.46,14096,United Kingdom
578270,22759,SET OF 3 NOTEBOOKS IN PARCEL,19,23-11-2011 13:39,3.29,14096,United Kingdom
578270,22768,FAMILY PHOTO FRAME CORNICE,1,23-11-2011 13:39,19.96,14096,United Kingdom
578270,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,11,23-11-2011 13:39,2.46,14096,United Kingdom
578270,22784,LANTERN CREAM GAZEBO ,1,23-11-2011 13:39,10.79,14096,United Kingdom
578270,22785,SQUARECUSHION COVER PINK UNION JACK,1,23-11-2011 13:39,16.63,14096,United Kingdom
578270,22792,FLUTED ANTIQUE CANDLE HOLDER,3,23-11-2011 13:39,1.63,14096,United Kingdom
578270,22804,PINK HANGING HEART T-LIGHT HOLDER,2,23-11-2011 13:39,5.79,14096,United Kingdom
578270,22809,SET OF 6 T-LIGHTS SANTA,3,23-11-2011 13:39,5.79,14096,United Kingdom
563928,21900,"KEY FOB , SHED",6,21-08-2011 15:17,0.65,17059,United Kingdom
563928,21899,GARAGE KEY FOB,5,21-08-2011 15:17,0.65,17059,United Kingdom
563928,21901,"KEY FOB , BACK DOOR ",4,21-08-2011 15:17,0.65,17059,United Kingdom
563928,21902,"KEY FOB , FRONT  DOOR ",6,21-08-2011 15:17,0.65,17059,United Kingdom
563928,47590A,BLUE HAPPY BIRTHDAY BUNTING,2,21-08-2011 15:17,5.45,17059,United Kingdom
563928,20711,JUMBO BAG TOYS ,2,21-08-2011 15:17,2.08,17059,United Kingdom
563928,23202,JUMBO BAG VINTAGE LEAF,1,21-08-2011 15:17,2.08,17059,United Kingdom
563928,23201,JUMBO BAG ALPHABET,2,21-08-2011 15:17,2.08,17059,United Kingdom
563928,20712,JUMBO BAG WOODLAND ANIMALS,2,21-08-2011 15:17,2.08,17059,United Kingdom
563928,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,21-08-2011 15:17,2.08,17059,United Kingdom
563928,20713,JUMBO BAG OWLS,2,21-08-2011 15:17,2.08,17059,United Kingdom
563928,22386,JUMBO BAG PINK POLKADOT,3,21-08-2011 15:17,2.08,17059,United Kingdom
563928,85099B,JUMBO BAG RED RETROSPOT,3,21-08-2011 15:17,2.08,17059,United Kingdom

563928,21933,PINK VINTAGE PAISLEY PICNIC BAG,5,21-08-2011 15:17,1.65,17059,United Kingdom
